name,tissue,platform,source,mode,expected_class,n_spots_ref,n_spots_mov,gene_overlap,maha,in_dist_confidence,in_distribution,route,gt_coverage,error_type,sutura_zeroshot,sutura_adapted,paste2,chosen_method,chosen_error,best_method,best_error,adapt_applicable,adapt_seconds,notes
DLPFC_Br5292,human DLPFC,Visium,spatialLIBD,serial,in-distribution,4226,4384,1.0,0.85,0.922,True,sutura,0.954,median_pitch,1.409,8.196,5.597,sutura_zeroshot,1.409,sutura_zeroshot,1.409,True,362.1,ref: loaded local DLPFC_151507.h5ad; mov: loaded local DLPFC_151508.h5ad; extra0: loaded local DLPFC_151509.h5ad; extra1: loaded local DLPFC_151510.h5ad
DLPFC_Br5595,human DLPFC,Visium,spatialLIBD,serial,in-distribution,3661,3498,1.0,1.02,0.902,True,sutura,0.961,median_pitch,1.19,9.192,5.597,sutura_zeroshot,1.19,sutura_zeroshot,1.19,True,299.3,ref: loaded local DLPFC_151669.h5ad; mov: loaded local DLPFC_151670.h5ad; extra0: loaded local DLPFC_151671.h5ad; extra1: loaded local DLPFC_151672.h5ad
DLPFC_Br8100,human DLPFC,Visium,spatialLIBD,serial,off-distribution,3639,3673,1.0,4.77,0.032,False,paste2,0.953,median_pitch,9.448,6.741,3.491,paste2,3.491,paste2,3.491,True,233.7,ref: loaded local DLPFC_151673.h5ad; mov: loaded local DLPFC_151674.h5ad; extra0: loaded local DLPFC_151675.h5ad; extra1: loaded local DLPFC_151676.h5ad
breast_block_a,human breast cancer,Visium,10x,serial,off-distribution,3798,3987,0.952,20.4,0.0,False,paste2,0.907,median_pitch,26.853,7.918,4.014,paste2,4.014,paste2,4.014,True,281.5,ref: loaded local V1_Breast_Cancer_Block_A_Section_1.h5ad; mov: loaded local V1_Breast_Cancer_Block_A_Section_2.h5ad
mouse_sagittal_post,mouse brain,Visium,10x,serial,off-distribution,3355,3289,0.001,,0.02,False,paste2,0.897,median_pitch,20.853,,6.041,paste2,6.041,paste2,6.041,False,0.0,ref: loaded local V1_Mouse_Brain_Sagittal_Posterior.h5ad; mov: loaded local V1_Mouse_Brain_Sagittal_Posterior_Section_2.h5ad
mouse_sagittal_ant,mouse brain,Visium,10x,serial,off-distribution,2695,2825,0.001,,0.02,False,paste2,0.85,median_pitch,18.277,,5.329,paste2,5.329,paste2,5.329,False,0.0,"ref: downloaded V1_Mouse_Brain_Sagittal_Anterior (2695 spots, 32285 genes); mov: downloaded V1_Mouse_Brain_Sagittal_Anterior_Section_2 (2825 spots, 32285 genes)"
human_brain_cbl,human brain (cerebellum),Visium,10x,serial,off-distribution,4910,4972,0.952,9.33,0.0,False,paste2,0.988,median_pitch,27.664,16.745,4.363,paste2,4.363,paste2,4.363,True,380.7,"ref: downloaded V1_Human_Brain_Section_1 (4910 spots, 36601 genes); mov: downloaded V1_Human_Brain_Section_2 (4972 spots, 36601 genes)"
mouse_coronal,mouse brain (coronal),Visium,10x,serial,off-distribution,2903,2807,0.001,,0.02,False,paste2,0.988,median_pitch,19.232,,2.655,paste2,2.655,paste2,2.655,False,0.0,"ref: downloaded V1_Adult_Mouse_Brain_Coronal_Section_1 (2903 spots, 32285 genes); mov: downloaded V1_Adult_Mouse_Brain_Coronal_Section_2 (2807 spots, 32285 genes)"
V1_Human_Lymph_Node,human lymph node,Visium,10x,self,off-distribution,4035,4035,0.952,19.85,0.0,False,paste2,1.0,median_pitch,21.992,,,sutura_zeroshot,21.992,sutura_zeroshot,21.992,False,0.0,"ref: downloaded V1_Human_Lymph_Node (4035 spots, 36601 genes); mov: cached download V1_Human_Lymph_Node"
V1_Human_Heart,human heart,Visium,10x,self,off-distribution,4247,4247,0.952,11.46,0.0,False,paste2,1.0,median_pitch,24.188,3.246,2.017,paste2,2.017,paste2,2.017,True,299.9,"ref: downloaded V1_Human_Heart (4247 spots, 36601 genes); mov: cached download V1_Human_Heart"
V1_Mouse_Kidney,mouse kidney,Visium,10x,self,off-distribution,1438,1438,0.001,,0.02,False,paste2,1.0,median_pitch,13.958,,0.0,paste2,0.0,paste2,0.0,False,0.0,"ref: downloaded V1_Mouse_Kidney (1438 spots, 32285 genes); mov: cached download V1_Mouse_Kidney"
V1_Adult_Mouse_Brain,mouse brain (whole),Visium,10x,self,off-distribution,2702,2702,0.001,,0.02,False,paste2,1.0,median_pitch,19.064,,0.0,paste2,0.0,paste2,0.0,False,0.0,"ref: downloaded V1_Adult_Mouse_Brain (2702 spots, 32285 genes); mov: cached download V1_Adult_Mouse_Brain"
Parent_Visium_Human_Cerebellum,human cerebellum,Visium,10x,self,off-distribution,4992,4992,0.952,8.92,0.0,False,paste2,1.0,median_pitch,25.86,2.592,2.653,sutura_adapted,2.592,sutura_adapted,2.592,True,377.9,"ref: downloaded Parent_Visium_Human_Cerebellum (4992 spots, 36601 genes); mov: cached download Parent_Visium_Human_Cerebellum"
Parent_Visium_Human_SpinalCord,human spinal cord,Visium,10x,self,off-distribution,2812,2812,0.952,10.44,0.0,False,paste2,1.0,median_pitch,16.611,1.017,0.0,paste2,0.0,paste2,0.0,True,187.7,"ref: downloaded Parent_Visium_Human_SpinalCord (2812 spots, 36601 genes); mov: cached download Parent_Visium_Human_SpinalCord"
Parent_Visium_Human_Glioblastoma,human glioblastoma,Visium,10x,self,off-distribution,3468,3468,0.952,13.5,0.0,False,paste2,1.0,median_pitch,23.132,1.783,1.006,paste2,1.006,paste2,1.006,True,246.4,"ref: downloaded Parent_Visium_Human_Glioblastoma (3468 spots, 36601 genes); mov: cached download Parent_Visium_Human_Glioblastoma"
Parent_Visium_Human_BreastCancer,human breast cancer,Visium,10x,self,off-distribution,4325,4325,0.952,16.19,0.0,False,paste2,1.0,median_pitch,23.588,3.732,2.0,paste2,2.0,paste2,2.0,True,334.4,"ref: downloaded Parent_Visium_Human_BreastCancer (4325 spots, 36601 genes); mov: cached download Parent_Visium_Human_BreastCancer"
Parent_Visium_Human_OvarianCancer,human ovarian cancer,Visium,10x,self,off-distribution,3493,3493,0.952,14.93,0.0,False,paste2,1.0,median_pitch,23.487,4.392,1.005,paste2,1.005,paste2,1.005,True,243.0,"ref: downloaded Parent_Visium_Human_OvarianCancer (3493 spots, 36601 genes); mov: cached download Parent_Visium_Human_OvarianCancer"
Parent_Visium_Human_ColorectalCancer,human colorectal cancer,Visium,10x,self,off-distribution,3138,3138,0.952,15.92,0.0,False,paste2,1.0,median_pitch,22.462,2.239,1.003,paste2,1.003,paste2,1.003,True,218.1,"ref: downloaded Parent_Visium_Human_ColorectalCancer (3138 spots, 36601 genes); mov: cached download Parent_Visium_Human_ColorectalCancer"
