dataset,severity,method,median_error,seed
Breast_Block_A_S2_heldout,0.0,Sutura zero-shot,5806.17,0
Breast_Block_A_S2_heldout,0.0,Sutura fine-tuned,5449.5,0
Breast_Block_A_S2_heldout,0.0,PASTE2,0.0,0
Breast_Block_A_S2_heldout,0.0,Sutura zero-shot,5780.57,9999
Breast_Block_A_S2_heldout,0.0,Sutura fine-tuned,5448.59,9999
Breast_Block_A_S2_heldout,0.0,PASTE2,0.0,9999
Breast_Block_A_S2_heldout,0.0,Sutura zero-shot,5811.49,10000
Breast_Block_A_S2_heldout,0.0,Sutura fine-tuned,5426.76,10000
Breast_Block_A_S2_heldout,0.0,PASTE2,0.0,10000
Breast_Block_A_S2_heldout,1.0,Sutura zero-shot,5807.99,0
Breast_Block_A_S2_heldout,1.0,Sutura fine-tuned,5427.54,0
Breast_Block_A_S2_heldout,1.0,PASTE2,0.0,0
Breast_Block_A_S2_heldout,1.0,Sutura zero-shot,5816.06,9999
Breast_Block_A_S2_heldout,1.0,Sutura fine-tuned,5435.8,9999
Breast_Block_A_S2_heldout,1.0,PASTE2,0.0,9999
Breast_Block_A_S2_heldout,1.0,Sutura zero-shot,5789.61,10000
Breast_Block_A_S2_heldout,1.0,Sutura fine-tuned,5414.96,10000
Breast_Block_A_S2_heldout,1.0,PASTE2,0.0,10000
Breast_Block_A_S2_heldout,2.0,Sutura zero-shot,5786.54,0
Breast_Block_A_S2_heldout,2.0,Sutura fine-tuned,5413.42,0
Breast_Block_A_S2_heldout,2.0,PASTE2,0.0,0
Breast_Block_A_S2_heldout,2.0,Sutura zero-shot,5812.7,9999
Breast_Block_A_S2_heldout,2.0,Sutura fine-tuned,5413.3,9999
Breast_Block_A_S2_heldout,2.0,PASTE2,0.0,9999
Breast_Block_A_S2_heldout,2.0,Sutura zero-shot,5752.21,10000
Breast_Block_A_S2_heldout,2.0,Sutura fine-tuned,5414.82,10000
Breast_Block_A_S2_heldout,2.0,PASTE2,0.0,10000
Breast_Block_A_S2_heldout,3.0,Sutura zero-shot,5777.63,0
Breast_Block_A_S2_heldout,3.0,Sutura fine-tuned,5441.38,0
Breast_Block_A_S2_heldout,3.0,PASTE2,0.0,0
Breast_Block_A_S2_heldout,3.0,Sutura zero-shot,5798.73,9999
Breast_Block_A_S2_heldout,3.0,Sutura fine-tuned,5404.66,9999
Breast_Block_A_S2_heldout,3.0,PASTE2,0.0,9999
Breast_Block_A_S2_heldout,3.0,Sutura zero-shot,5766.57,10000
Breast_Block_A_S2_heldout,3.0,Sutura fine-tuned,5413.71,10000
Breast_Block_A_S2_heldout,3.0,PASTE2,0.0,10000
Breast_Block_A_S2_heldout,4.0,Sutura zero-shot,5789.37,0
Breast_Block_A_S2_heldout,4.0,Sutura fine-tuned,5426.17,0
Breast_Block_A_S2_heldout,4.0,PASTE2,0.0,0
Breast_Block_A_S2_heldout,4.0,Sutura zero-shot,5800.17,9999
Breast_Block_A_S2_heldout,4.0,Sutura fine-tuned,5396.25,9999
Breast_Block_A_S2_heldout,4.0,PASTE2,0.0,9999
Breast_Block_A_S2_heldout,4.0,Sutura zero-shot,5768.05,10000
Breast_Block_A_S2_heldout,4.0,Sutura fine-tuned,5413.63,10000
Breast_Block_A_S2_heldout,4.0,PASTE2,0.0,10000
