experiment,method,chain_len,severity,seed,edge_band,gate,metric,value,runtime_s,n_edges,note
controlled,pairwise_chain,2,1,0,1,,terminal_err,53.57057006787895,8.200004231184721e-06,1,
controlled,global_adj,2,1,0,1,,terminal_err,53.57057006787904,0.00011449999874457717,1,
controlled,global_band,2,1,0,1,,terminal_err,53.57057006787904,7.979999645613134e-05,1,
controlled,global_full,2,1,0,1,,terminal_err,53.57057006787904,6.569999095518142e-05,1,
controlled,pairwise_chain,2,1,0,1,,mean_err,26.785285033939473,8.200004231184721e-06,1,
controlled,global_band,2,1,0,1,,mean_err,26.78528503393952,7.979999645613134e-05,1,
controlled,global_full,2,1,0,1,,mean_err,26.78528503393952,6.569999095518142e-05,1,
controlled,pairwise_chain,2,1,1,1,,terminal_err,20.54966821760815,5.299996701069176e-06,1,
controlled,global_adj,2,1,1,1,,terminal_err,20.549668217607927,8.199999865610152e-05,1,
controlled,global_band,2,1,1,1,,terminal_err,20.549668217607927,6.649999704677612e-05,1,
controlled,global_full,2,1,1,1,,terminal_err,20.549668217607927,5.9300000430084765e-05,1,
controlled,pairwise_chain,2,1,1,1,,mean_err,10.274834108804075,5.299996701069176e-06,1,
controlled,global_band,2,1,1,1,,mean_err,10.274834108803963,6.649999704677612e-05,1,
controlled,global_full,2,1,1,1,,mean_err,10.274834108803963,5.9300000430084765e-05,1,
controlled,pairwise_chain,2,1,2,1,,terminal_err,102.78003666714692,2.8999929782003164e-06,1,
controlled,global_adj,2,1,2,1,,terminal_err,102.78003666714869,6.629999552387744e-05,1,
controlled,global_band,2,1,2,1,,terminal_err,102.78003666714869,5.390000296756625e-05,1,
controlled,global_full,2,1,2,1,,terminal_err,102.78003666714869,5.1399998483248055e-05,1,
controlled,pairwise_chain,2,1,2,1,,mean_err,51.39001833357346,2.8999929782003164e-06,1,
controlled,global_band,2,1,2,1,,mean_err,51.390018333574346,5.390000296756625e-05,1,
controlled,global_full,2,1,2,1,,mean_err,51.390018333574346,5.1399998483248055e-05,1,
controlled,pairwise_chain,2,1,3,1,,terminal_err,55.33333772137457,2.7999922167509794e-06,1,
controlled,global_adj,2,1,3,1,,terminal_err,55.333337721375344,6.229999416973442e-05,1,
controlled,global_band,2,1,3,1,,terminal_err,55.333337721375344,5.18000015290454e-05,1,
controlled,global_full,2,1,3,1,,terminal_err,55.333337721375344,5.360000068321824e-05,1,
controlled,pairwise_chain,2,1,3,1,,mean_err,27.666668860687285,2.7999922167509794e-06,1,
controlled,global_band,2,1,3,1,,mean_err,27.666668860687672,5.18000015290454e-05,1,
controlled,global_full,2,1,3,1,,mean_err,27.666668860687672,5.360000068321824e-05,1,
controlled,pairwise_chain,2,1,4,1,,terminal_err,30.320753726201605,3.4999975468963385e-06,1,
controlled,global_adj,2,1,4,1,,terminal_err,30.320753726201715,7.6299998909235e-05,1,
controlled,global_band,2,1,4,1,,terminal_err,30.320753726201715,8.05000017862767e-05,1,
controlled,global_full,2,1,4,1,,terminal_err,30.320753726201715,7.759999425616115e-05,1,
controlled,pairwise_chain,2,1,4,1,,mean_err,15.160376863100803,3.4999975468963385e-06,1,
controlled,global_band,2,1,4,1,,mean_err,15.160376863100858,8.05000017862767e-05,1,
controlled,global_full,2,1,4,1,,mean_err,15.160376863100858,7.759999425616115e-05,1,
controlled,pairwise_chain,4,1,0,1,,terminal_err,61.35844061909601,6.300004315562546e-06,3,
controlled,global_adj,4,1,0,1,,terminal_err,61.35844061909717,0.00018650000856723636,3,
controlled,global_band,4,1,0,3,,terminal_err,27.054351285536985,0.00023950000468175858,6,
