phase,dataset,kind,severity,seed,n_target,n_a,n_b,sub_method,solver,config,iter,err_pitch,paste2_err_pitch,beats_paste2,n_scored,pitch,build_s,solve_s,total_s,status,timestamp,detail
B,Br8100,dlpfc,0.0,0,500,500,500,random,emd,paste2,1,7.0685,,,478,137.0,0.27,0.16,0.42,ok,2026-07-18T08:34:01Z,
B,Br8100,dlpfc,0.0,0,500,500,500,random,emd,paste2,2,3.6304,,,478,137.0,0.27,0.29,0.55,ok,2026-07-18T08:34:01Z,
B,Br8100,dlpfc,0.0,0,500,500,500,random,emd,paste2,3,3.6238,,,478,137.0,0.27,0.41,0.68,ok,2026-07-18T08:34:01Z,
B,Br8100,dlpfc,0.0,0,500,500,500,random,emd,paste2,4,3.6238,,,478,137.0,0.27,0.53,0.79,ok,2026-07-18T08:34:01Z,
B,Br8100,dlpfc,0.0,0,500,500,500,random,emd,gated_rigid,final,1.6806,3.6238,True,478,137.0,0.27,0.53,0.8,ok,2026-07-18T08:34:01Z,
B,Br8100,dlpfc,0.0,0,500,500,500,random,emd,gated_affine,final,1.6692,3.6238,True,478,137.0,0.27,0.53,0.8,ok,2026-07-18T08:34:01Z,
B,Br8100,dlpfc,0.0,0,500,500,500,spatial,emd,paste2,1,6.6091,,,462,137.0,0.24,0.14,0.38,ok,2026-07-18T08:34:02Z,
B,Br8100,dlpfc,0.0,0,500,500,500,spatial,emd,paste2,2,3.628,,,462,137.0,0.24,0.25,0.49,ok,2026-07-18T08:34:02Z,
B,Br8100,dlpfc,0.0,0,500,500,500,spatial,emd,paste2,3,3.4816,,,462,137.0,0.24,0.36,0.6,ok,2026-07-18T08:34:02Z,
B,Br8100,dlpfc,0.0,0,500,500,500,spatial,emd,paste2,301,3.4816,,,462,137.0,0.24,0.47,0.71,ok,2026-07-18T08:34:02Z,
B,Br8100,dlpfc,0.0,0,500,500,500,spatial,emd,paste2,301,3.4816,,,462,137.0,0.24,0.47,0.71,ok,2026-07-18T08:34:02Z,
B,Br8100,dlpfc,0.0,0,500,500,500,spatial,emd,gated_rigid,final,1.5719,3.4816,True,462,137.0,0.24,0.48,0.72,ok,2026-07-18T08:34:02Z,
B,Br8100,dlpfc,0.0,0,500,500,500,spatial,emd,gated_affine,final,1.5605,3.4816,True,462,137.0,0.24,0.48,0.72,ok,2026-07-18T08:34:02Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,random,emd,paste2,1,7.0356,,,948,137.0,0.45,0.83,1.28,ok,2026-07-18T08:34:03Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,random,emd,paste2,2,3.6238,,,948,137.0,0.45,1.44,1.89,ok,2026-07-18T08:34:04Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,random,emd,paste2,3,3.4847,,,948,137.0,0.45,2.08,2.53,ok,2026-07-18T08:34:05Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,random,emd,paste2,301,3.4847,,,948,137.0,0.45,3.35,3.8,ok,2026-07-18T08:34:06Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,random,emd,paste2,301,3.4847,,,948,137.0,0.45,3.35,3.81,ok,2026-07-18T08:34:06Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,random,emd,gated_rigid,final,2.2506,3.4847,True,948,137.0,0.45,3.36,3.81,ok,2026-07-18T08:34:06Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,random,emd,gated_affine,final,2.1656,3.4847,True,948,137.0,0.45,3.36,3.81,ok,2026-07-18T08:34:06Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,spatial,emd,paste2,1,6.613,,,941,137.0,0.45,0.91,1.36,ok,2026-07-18T08:34:08Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,spatial,emd,paste2,2,3.0146,,,941,137.0,0.45,1.62,2.07,ok,2026-07-18T08:34:08Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,spatial,emd,paste2,3,2.6683,,,941,137.0,0.45,2.34,2.79,ok,2026-07-18T08:34:09Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,spatial,emd,paste2,5,2.6656,,,941,137.0,0.45,3.75,4.19,ok,2026-07-18T08:34:10Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,spatial,emd,gated_rigid,final,1.786,2.6656,True,941,137.0,0.45,3.76,4.2,ok,2026-07-18T08:34:11Z,
B,Br8100,dlpfc,0.0,0,1000,1000,1000,spatial,emd,gated_affine,final,1.7503,2.6656,True,941,137.0,0.45,3.76,4.2,ok,2026-07-18T08:34:11Z,
B,Br8100,dlpfc,0.0,0,100000,3639,3673,full,emd,paste2,1,5.9941,,,3502,137.0,1.9,36.58,38.48,ok,2026-07-18T08:34:49Z,
B,Br8100,dlpfc,0.0,0,100000,3639,3673,full,emd,paste2,2,3.0266,,,3502,137.0,1.9,70.54,72.44,ok,2026-07-18T08:35:23Z,
B,Br8100,dlpfc,0.0,0,100000,3639,3673,full,emd,paste2,3,2.981,,,3502,137.0,1.9,110.84,112.74,ok,2026-07-18T08:36:04Z,
B,Br8100,dlpfc,0.0,0,100000,3639,3673,full,emd,paste2,5,2.9878,,,3502,137.0,1.9,169.75,171.65,ok,2026-07-18T08:37:03Z,
B,Br8100,dlpfc,0.0,0,100000,3639,3673,full,emd,gated_rigid,final,1.4611,2.9878,True,3502,137.0,1.9,169.86,171.76,ok,2026-07-18T08:37:03Z,
