fold,mode,test_pair,severity,median_mean,median_std,median_ci,mean_mean,p90_mean,n,n_seeds
S2,global,151669/151670,0.0,1503.8891887058448,6.532473146069539,5.725965174194934,1696.6450786625617,3252.970653939911,3363,5
S2,global,151669/151670,1.0,1501.7735499648757,6.103427404440445,5.349890000249063,1696.285859602689,3251.2866967977366,3363,5
S2,global,151669/151670,2.0,1500.3128021102636,8.337442674941071,7.308090723232959,1696.5223961026036,3249.203144576247,3363,5
S2,global,151669/151670,3.0,1504.8384143103208,10.046288328295825,8.805959980463818,1697.8196184307824,3248.184193874683,3363,5
S2,global,151669/151670,4.0,1506.9182250365604,13.746410246814785,12.049259841323186,1700.7019134174384,3251.435181935366,3363,5
S2,global,151669/151670,6.0,1536.1435335702615,29.629728157370284,25.971601835370056,1717.5514520417546,3245.4035063405877,3363,5
S2,global,151669/151670,8.0,1583.6713973265298,59.23133010362203,51.91854995969597,1747.3674609502864,3243.5033842633616,3363,5
S2,perslice,151669/151670,0.0,1236.0755127684806,2.483209393533116,2.1766290024719805,1362.5198655986078,2298.5904564773964,3363,5
S2,perslice,151669/151670,1.0,1234.3394751109975,2.247511058846038,1.9700303030428101,1361.2195864518646,2295.051117031525,3363,5
S2,perslice,151669/151670,2.0,1233.3611150186105,5.903165617102468,5.174352804094,1360.7349669329944,2296.858815452905,3363,5
S2,perslice,151669/151670,3.0,1235.700418126388,5.723832737325573,5.017160604259481,1361.9563155792332,2299.5864329993738,3363,5
S2,perslice,151669/151670,4.0,1240.555778154204,7.715530939148203,6.762961051675764,1364.215442812627,2301.1029074903117,3363,5
S2,perslice,151669/151670,6.0,1257.5326052727692,13.031059112774702,11.422226926033073,1379.280019488544,2336.8051479751257,3363,5
S2,perslice,151669/151670,8.0,1270.4854266679938,16.119790699967584,14.129619532973003,1405.0732688294572,2403.5445304347327,3363,5
S3,global,151673/151674,0.0,1428.8028109621064,3.574469626484255,3.1331607707842135,1619.505770164711,2757.507081802655,3502,5
S3,global,151673/151674,1.0,1429.1729255988207,4.897446103378662,4.29280078209209,1619.5084226147387,2759.945755703969,3502,5
S3,global,151673/151674,2.0,1424.2901065526023,6.200668537011332,5.435125611042991,1614.862259082977,2755.7764630936445,3502,5
S3,global,151673/151674,3.0,1423.0337107903183,8.650424375906764,7.582431279989497,1611.6885854280488,2754.540779895768,3502,5
S3,global,151673/151674,4.0,1421.9777584842236,12.291672430330626,10.774125923660696,1609.4573167112928,2754.052450343497,3502,5
S3,global,151673/151674,6.0,1435.8696222381736,36.97596960653717,32.410866377079834,1616.1628090618044,2757.7781813039287,3502,5
S3,global,151673/151674,8.0,1461.0713466193004,58.88096732158782,51.61144344070952,1645.2981626008564,2826.8599208136116,3502,5
S3,perslice,151673/151674,0.0,1325.8159675205447,6.3768715560832,5.589574367009264,1505.8254969974791,2529.887731147157,3502,5
S3,perslice,151673/151674,1.0,1327.5137693177644,4.214951585457848,3.6945679606460704,1505.827493582795,2530.1314380294325,3502,5
S3,perslice,151673/151674,2.0,1322.6750992502225,6.947761842060863,6.089981765968281,1503.2918799222862,2525.03517374812,3502,5
S3,perslice,151673/151674,3.0,1325.0115625070855,5.082735976862333,4.455214517131606,1504.7979579186817,2531.279356870622,3502,5
S3,perslice,151673/151674,4.0,1331.7298856952013,11.233846138549122,9.846900296911189,1508.2105926974602,2538.4705630388594,3502,5
S3,perslice,151673/151674,6.0,1346.583470168292,22.279994478438308,19.529276219306347,1522.2643697283354,2563.8739543391293,3502,5
S3,perslice,151673/151674,8.0,1372.5257616071654,38.54997181444414,33.790540143056816,1552.653075693919,2649.69914895487,3502,5
