fold,mode,test_pair,severity,median_mean,median_std,median_ci,mean_mean,p90_mean,n,n_seeds
lodo2_global_heldS1,global,151507/151508,0.0,1071.1916573293115,3.844924556054222,3.3702249688726127,1306.6326271540263,2525.818426193625,4182,5
lodo2_global_heldS1,global,151507/151508,1.0,1071.7259101488887,2.6950069663168725,2.3622777603958447,1307.1126938001598,2527.2779379152744,4182,5
lodo2_global_heldS1,global,151507/151508,2.0,1072.3720113006505,5.84598054647225,5.1242278796449,1306.438172423499,2529.722899598959,4182,5
lodo2_global_heldS1,global,151507/151508,3.0,1073.3353596613465,5.688589907990937,4.986268902311707,1304.7676212213905,2518.120446154603,4182,5
lodo2_global_heldS1,global,151507/151508,4.0,1074.9550606636844,8.376293736454496,7.34214518013344,1306.6249253982191,2516.813339421902,4182,5
lodo2_global_heldS1,global,151507/151508,6.0,1082.5665758572875,20.0146680476654,17.543630054255747,1313.4679150862407,2520.1254415398985,4182,5
lodo2_global_heldS1,global,151507/151508,8.0,1095.0198316376914,28.13898099121944,24.664904331064903,1329.723773295485,2559.2009054688288,4182,5
lodo2_perslice_heldS1,perslice,151507/151508,0.0,875.1290303508088,4.018621929996131,3.522477430046358,1074.628938569408,2139.1087201553755,4182,5
lodo2_perslice_heldS1,perslice,151507/151508,1.0,873.9542913458223,3.3345018174027685,2.922819712045199,1075.7545425626545,2141.68566146009,4182,5
lodo2_perslice_heldS1,perslice,151507/151508,2.0,875.9855797628421,6.0728426780894305,5.3230813055889765,1076.6821502235332,2140.199391239801,4182,5
lodo2_perslice_heldS1,perslice,151507/151508,3.0,875.4181415208056,5.708627625069515,5.003832735732338,1077.9421797754508,2142.1259505351354,4182,5
lodo2_perslice_heldS1,perslice,151507/151508,4.0,882.0596329863738,7.766830380263391,6.807926994391957,1081.004392917282,2139.8374707367952,4182,5
lodo2_perslice_heldS1,perslice,151507/151508,6.0,903.7975833581925,33.93111294422992,29.741931837444284,1096.9370268665793,2164.415257889724,4182,5
lodo2_perslice_heldS1,perslice,151507/151508,8.0,929.2192257834234,59.98336087332678,52.57773399321066,1129.2010907801796,2235.9694683440803,4182,5
lodo2_global_heldS2,global,151669/151670,0.0,1101.9816143281191,5.818998882913384,5.100577408770349,1291.9969996530303,2507.0400289399686,3363,5
lodo2_global_heldS2,global,151669/151670,1.0,1098.7104321979925,5.278320098938388,4.626651558906023,1290.4970727165974,2513.465001901651,3363,5
lodo2_global_heldS2,global,151669/151670,2.0,1103.4200057780247,4.949655401756829,4.338564249862702,1290.497459396518,2508.613424904871,3363,5
lodo2_global_heldS2,global,151669/151670,3.0,1101.1237857358292,4.2689918044776505,3.741936301118995,1290.33550785116,2508.3501405605834,3363,5
lodo2_global_heldS2,global,151669/151670,4.0,1100.8349406099885,14.234174905505856,12.476804415394433,1291.9888475542434,2517.51852927633,3363,5
lodo2_global_heldS2,global,151669/151670,6.0,1115.24761849752,41.06515041190095,35.995191388287495,1305.867912003564,2544.462079219814,3363,5
lodo2_global_heldS2,global,151669/151670,8.0,1141.0988188835029,62.82397068208024,55.06763827214141,1339.600615578321,2633.9075654771154,3363,5
lodo2_perslice_heldS2,perslice,151669/151670,0.0,782.7049315611848,2.218300520263228,1.944426137070037,939.4784098972316,1606.831776181653,3363,5
lodo2_perslice_heldS2,perslice,151669/151670,1.0,782.718010046508,2.2568145516055256,1.9781851740002594,939.0613440820913,1612.1060118489409,3363,5
lodo2_perslice_heldS2,perslice,151669/151670,2.0,783.5911852856035,3.1596914931314486,2.7695917068953335,940.6721033048813,1614.4140546719022,3363,5
lodo2_perslice_heldS2,perslice,151669/151670,3.0,786.3705863632337,3.123519372466597,2.737885445182136,943.7953126222704,1616.8494578617433,3363,5
lodo2_perslice_heldS2,perslice,151669/151670,4.0,791.9796210999061,6.873883949195155,6.02522493769927,949.1587184021453,1630.0731792145566,3363,5
lodo2_perslice_heldS2,perslice,151669/151670,6.0,822.45408851579,4.655768358347627,4.080960898409094,973.6019186465834,1684.8181801280884,3363,5
lodo2_perslice_heldS2,perslice,151669/151670,8.0,843.1095640316714,18.57672982995668,16.283221634177046,1008.197140528734,1802.3495875860183,3363,5
lodo2_global_heldS3,global,151673/151674,0.0,1162.4472743968,2.0021156998591123,1.75493178705218,1310.5640677796466,2333.4895698240043,3502,5
lodo2_global_heldS3,global,151673/151674,1.0,1165.5001262109886,1.859166231520642,1.6296310534596887,1311.7058937052257,2334.7038868740287,3502,5
lodo2_global_heldS3,global,151673/151674,2.0,1164.3590814863005,6.041400369730125,5.295520907155497,1311.0207828290643,2332.017654082035,3502,5
lodo2_global_heldS3,global,151673/151674,3.0,1171.5232545508636,7.5236570776896565,6.594776196723703,1315.8807548985508,2337.4334401455253,3502,5
lodo2_global_heldS3,global,151673/151674,4.0,1174.2599754372757,7.9005368940508545,6.925125921106363,1319.5771095236107,2343.7928316629072,3502,5
lodo2_global_heldS3,global,151673/151674,6.0,1200.8178382606975,29.100145205982347,25.50740191159093,1347.585294437579,2382.7634819609243,3502,5
lodo2_global_heldS3,global,151673/151674,8.0,1230.353873429291,66.89397650667182,58.635155671643304,1392.7226478018597,2475.0159283171292,3502,5
lodo2_perslice_heldS3,perslice,151673/151674,0.0,972.8343747894035,2.9374643432224965,2.5748010215474917,1126.1486061911305,2102.092062106868,3502,5
lodo2_perslice_heldS3,perslice,151673/151674,1.0,972.4531379529683,4.78214652052726,4.191736241719114,1127.2010822585362,2107.906531852665,3502,5
lodo2_perslice_heldS3,perslice,151673/151674,2.0,969.1020059766503,4.326830098373913,3.7926338010060188,1123.1241926571643,2099.125249425607,3502,5
lodo2_perslice_heldS3,perslice,151673/151674,3.0,972.2747037966495,4.506128860175045,3.9497960951162177,1125.0608719572933,2100.2957370420017,3502,5
lodo2_perslice_heldS3,perslice,151673/151674,4.0,980.2371851994209,7.224581698999749,6.33262506888203,1130.2685493570684,2101.0156588014884,3502,5
lodo2_perslice_heldS3,perslice,151673/151674,6.0,1015.8864475188071,16.699995545035083,14.638191502955701,1156.0725335059701,2139.3018081968194,3502,5
lodo2_perslice_heldS3,perslice,151673/151674,8.0,1040.4185810375266,32.78027138519278,28.733174734167445,1194.180616570488,2249.4563648253925,3502,5
