name,n_spots,pitch,n_voids,n_interior_empty_sites,void_area_frac,largest_void_frac,max_void_elongation,edge_jump_mean,edge_jump_p95,frac_high_jump_edges,n_cut_lines,max_cut_len,max_cut_straightness,n_expr_boundaries,n_folds,fold_area_frac,max_fold_zscore,max_coord_resid_pitch,p95_coord_resid_pitch,frac_displaced,frac_gap_spots,fill_bbox,boundary_irregularity,n_tears,n_missing_regions,damage_score,severity_label,n_events,kind,tissue,severity,seed,base,timestamp
V1_Human_Lymph_Node,4035,137.00364958642524,2,12,0.0027261462205700124,0.001734820322180917,3.7250314693741826,0.4906851649284363,0.9580298066139221,0.002638522427440633,2,4,0.8191276204497872,0,0,0.0,6.295489885696494,0.005109550746857037,0.004379189948718722,0.0,0.04535315985130112,0.8621794871794872,0.0,2,0,0.051648079306071876,moderate,2,real,atlas,nan,nan,V1_Human_Lymph_Node,2026-07-18T08:39:05Z
V1_Mouse_Brain_Sagittal_Anterior,2695,137.0,2,7,0.0025974025974025974,0.001484230055658627,3.739011097776596,0.1934152990579605,0.6356792330741882,0.11228921819110883,57,168,0.9448378343454167,13,0,0.0,5.610629105311516,0.005198597119176506,0.004336329198445074,0.0,0.04341372912801484,0.692090395480226,0.0,3,0,0.07076066790352505,moderate,3,real,brain,nan,nan,V1_Mouse_Brain_Sagittal_Anterior,2026-07-18T08:39:07Z
V1_Mouse_Brain_Sagittal_Anterior_Section_2,2825,137.0,0,0,0.0,0.0,1.0,0.22040846943855286,0.6669037789106357,0.09428918590522478,57,128,0.9632577850068597,12,0,0.0,4.433760422239736,0.005148035058207096,0.004346551104495444,0.0,0.03716814159292035,0.6952990401181393,0.0,1,0,0.02,mild,1,real,brain,nan,nan,V1_Mouse_Brain_Sagittal_Anterior_Section_2,2026-07-18T08:39:10Z
V1_Mouse_Kidney,1438,137.00364958642524,2,6,0.0034770514603616135,0.002086230876216968,2.993190485413101,0.46845611929893494,1.1584744155406952,0.0,0,0,0.0,0,0,0.0,2.9032048616834802,0.005209213443404598,0.004386292162240586,0.0,0.06954102920723226,0.4313137372525495,0.0,2,0,0.05460361613351877,moderate,2,real,kidney,nan,nan,V1_Mouse_Kidney,2026-07-18T08:39:13Z
DLPFC_151507,4226,137.00364958642524,0,3,0.0,0.0,1.0,0.6245175004005432,1.0757173061370848,0.0017763423496164716,1,6,0.6210234173338792,0,0,0.0,9.71539215164051,0.005062293599973983,0.004383776170255617,0.0,0.03502129673450071,0.8465544871794872,0.0,0,0,0.0,none,0,real,dlpfc,nan,nan,DLPFC_151507,2026-07-18T08:39:15Z
synthetic_DLPFC_151507_s1_seed0,4226,135.43939063241393,0,3,0.0,0.0,1.0,0.6250326633453369,1.0767305612564086,0.0017806556050182112,1,6,0.63059270500997,0,0,0.0,9.71539215164051,1.88245137730945,1.509055820239837,0.6580690960719356,0.04377662091812589,0.8465544871794872,0.0,0,0,0.0,none,0,synthetic,synthetic,1.0,0,DLPFC_151507,2026-07-18T08:39:17Z
DLPFC_151508,4384,137.00364958642524,2,9,0.0009124087591240876,0.0004562043795620438,1.0,0.6320833563804626,1.0482545375823975,0.002179157911121488,3,5,0.7542422853537751,0,0,0.0,6.9169124016139705,0.005138822693367107,0.004380107206944399,0.0,0.03444343065693431,0.8782051282051282,0.0,2,0,0.043649635036496354,mild,2,real,dlpfc,nan,nan,DLPFC_151508,2026-07-18T08:39:18Z
warp_only_DLPFC_151507_s1_seed0,4226,135.4889476331016,0,3,0.0,0.0,1.0,0.6245175004005432,1.0757173061370848,0.0017763423496164716,1,6,0.6305927050099699,0,0,0.0,9.71539215164051,0.949845553807849,0.5315420818918617,0.07690487458589683,0.03644107903454804,0.8465544871794872,0.0,0,0,0.0,none,0,warp_only,synthetic,1.0,0,DLPFC_151507,2026-07-18T08:39:19Z
DLPFC_151509,4789,139.0,0,3,0.0,0.0,1.0,0.5897536277770996,1.021767944097519,0.0032656538406928867,5,6,0.8174384578997725,0,0,0.0,7.660179402380408,0.0050368683549466605,0.004321371298911268,0.0,0.032157026519106284,0.9593349358974359,0.0,0,0,0.0,none,0,real,dlpfc,nan,nan,DLPFC_151509,2026-07-18T08:39:22Z
synthetic_DLPFC_151507_s2_seed0,4226,133.4527532390946,0,3,0.0,0.0,1.0,0.6250084042549133,1.0786196529865264,0.0017784963621665319,1,6,0.6395687911795735,0,0,0.0,9.71539215164051,3.8212430306335747,3.0655054681057754,0.8866540463795551,0.048745858968291526,0.8465544871794872,0.0,0,0,0.0,none,0,synthetic,synthetic,2.0,0,DLPFC_151507,2026-07-18T08:39:22Z
DLPFC_151510,4634,138.00362314084367,0,4,0.0,0.0,1.0,0.6520892381668091,1.0842606067657468,0.0009559526435767336,1,4,0.8188561170956956,0,1,0.0006473888649115235,10.876609588317852,0.004956225925298701,0.004349911443907414,0.0,0.03646957272334916,0.9282852564102564,0.0,0,0,0.0006473888649115235,mild,1,real,dlpfc,nan,nan,DLPFC_151510,2026-07-18T08:39:25Z
warp_only_DLPFC_151507_s2_seed0,4226,133.54211662426513,0,3,0.0,0.0,1.0,0.6245175004005432,1.0757173061370848,0.0017763423496164716,1,6,0.6395687911795732,0,0,0.0,9.71539215164051,1.9289329739183283,1.0786020414576085,0.5766682442025556,0.03880738286796025,0.8465544871794872,0.0,0,0,0.0,none,0,warp_only,synthetic,2.0,0,DLPFC_151507,2026-07-18T08:39:25Z
DLPFC_151669,3661,137.00364958642524,1,7,0.0016388964763725759,0.0016388964763725759,3.7250412224005256,0.6817528009414673,1.1210412740707394,0.001132395961121072,2,5,0.816371357277332,0,0,0.0,7.322807326028387,0.00510598687664434,0.004370667306997087,0.0,0.05353728489483748,0.7585992540406133,0.0,1,0,0.02819448238186288,mild,1,real,dlpfc,nan,nan,DLPFC_151669,2026-07-18T08:39:27Z
synthetic_DLPFC_151507_s3_seed0,4226,131.45370897503074,0,3,0.0,0.0,1.0,0.6255437731742859,1.0767390966415402,0.0016971068369161144,1,4,0.8321313912300161,0,0,0.0,9.71539215164051,5.819766954849934,4.668804358890359,0.9477046852815901,0.05371509701845717,0.8465544871794872,0.0,0,0,0.0,none,0,synthetic,synthetic,3.0,0,DLPFC_151507,2026-07-18T08:39:27Z
