donor,condition,mode,severity,method,seed,median_error,median_error_pitch,mean_error,p90_error,pitch_px,n_scored
Br5292,in-distribution,cross,0.0,shared_basis,0,183.64,1.34,203.5,364.57,137.0,4182
Br5292,in-distribution,cross,1.0,shared_basis,0,182.41,1.331,202.14,362.43,137.0,4182
Br5292,in-distribution,cross,2.0,shared_basis,0,187.67,1.37,209.2,377.21,137.0,4182
Br5292,in-distribution,cross,3.0,shared_basis,0,189.57,1.384,216.48,386.93,137.0,4182
Br5292,in-distribution,cross,4.0,shared_basis,0,192.98,1.409,229.56,399.78,137.0,4182
Br5292,in-distribution,cross,6.0,shared_basis,0,206.37,1.506,295.45,495.24,137.0,4182
Br5292,in-distribution,cross,8.0,shared_basis,0,223.1,1.628,392.86,1066.66,137.0,4182
Br5292,in-distribution,cross,0.0,shared_basis,1,183.11,1.337,200.63,359.99,137.0,4182
Br5292,in-distribution,cross,1.0,shared_basis,1,183.72,1.341,199.92,358.06,137.0,4182
Br5292,in-distribution,cross,2.0,shared_basis,1,184.73,1.348,204.7,369.79,137.0,4182
Br5292,in-distribution,cross,3.0,shared_basis,1,186.34,1.36,208.32,377.17,137.0,4182
Br5292,in-distribution,cross,4.0,shared_basis,1,185.91,1.357,210.84,378.94,137.0,4182
Br5292,in-distribution,cross,6.0,shared_basis,1,186.41,1.361,212.25,376.06,137.0,4182
Br5292,in-distribution,cross,8.0,shared_basis,1,185.85,1.357,214.43,376.04,137.0,4182
Br5292,in-distribution,cross,0.0,shared_basis,2,180.62,1.318,201.9,368.89,137.0,4182
Br5292,in-distribution,cross,1.0,shared_basis,2,180.33,1.316,201.62,367.86,137.0,4182
Br5292,in-distribution,cross,2.0,shared_basis,2,180.89,1.32,207.18,379.57,137.0,4182
Br5292,in-distribution,cross,3.0,shared_basis,2,183.06,1.336,213.28,389.66,137.0,4182
Br5292,in-distribution,cross,4.0,shared_basis,2,185.13,1.351,227.21,404.78,137.0,4182
Br5292,in-distribution,cross,6.0,shared_basis,2,194.02,1.416,279.82,488.36,137.0,4182
Br5292,in-distribution,cross,8.0,shared_basis,2,203.43,1.485,371.26,984.18,137.0,4182
Br5595,in-distribution,cross,0.0,shared_basis,0,153.71,1.122,169.72,290.69,137.0,3363
Br5595,in-distribution,cross,1.0,shared_basis,0,153.87,1.123,170.18,291.67,137.0,3363
Br5595,in-distribution,cross,2.0,shared_basis,0,159.3,1.163,177.35,304.3,137.0,3363
Br5595,in-distribution,cross,3.0,shared_basis,0,161.9,1.182,188.41,324.5,137.0,3363
Br5595,in-distribution,cross,4.0,shared_basis,0,163.08,1.19,202.49,340.84,137.0,3363
Br5595,in-distribution,cross,6.0,shared_basis,0,170.02,1.241,267.33,459.04,137.0,3363
Br5595,in-distribution,cross,8.0,shared_basis,0,181.76,1.327,350.08,1012.65,137.0,3363
Br5595,in-distribution,cross,0.0,shared_basis,1,155.42,1.134,171.74,295.56,137.0,3363
Br5595,in-distribution,cross,1.0,shared_basis,1,156.19,1.14,172.43,298.2,137.0,3363
Br5595,in-distribution,cross,2.0,shared_basis,1,158.23,1.155,177.02,304.02,137.0,3363
Br5595,in-distribution,cross,3.0,shared_basis,1,157.91,1.153,179.94,307.76,137.0,3363
Br5595,in-distribution,cross,4.0,shared_basis,1,158.64,1.158,180.17,305.04,137.0,3363
Br5595,in-distribution,cross,6.0,shared_basis,1,158.3,1.155,181.65,307.02,137.0,3363
Br5595,in-distribution,cross,8.0,shared_basis,1,159.75,1.166,185.61,316.0,137.0,3363
Br5595,in-distribution,cross,0.0,shared_basis,2,153.12,1.118,169.52,290.69,137.0,3363
Br5595,in-distribution,cross,1.0,shared_basis,2,153.28,1.119,169.42,292.43,137.0,3363
Br5595,in-distribution,cross,2.0,shared_basis,2,155.01,1.131,173.52,302.6,137.0,3363
Br5595,in-distribution,cross,3.0,shared_basis,2,156.49,1.142,183.95,316.12,137.0,3363
Br5595,in-distribution,cross,4.0,shared_basis,2,157.47,1.149,198.44,335.77,137.0,3363
Br5595,in-distribution,cross,6.0,shared_basis,2,163.02,1.19,254.82,407.69,137.0,3363
Br5595,in-distribution,cross,8.0,shared_basis,2,168.67,1.231,333.98,671.51,137.0,3363
Br8100,held-out,cross,0.0,shared_basis,0,1296.91,9.466,1592.09,2931.56,137.0,3502
Br8100,held-out,cross,1.0,shared_basis,0,1296.51,9.463,1592.68,2930.27,137.0,3502
Br8100,held-out,cross,2.0,shared_basis,0,1291.97,9.43,1586.49,2924.04,137.0,3502
Br8100,held-out,cross,3.0,shared_basis,0,1290.13,9.417,1583.54,2923.18,137.0,3502
Br8100,held-out,cross,4.0,shared_basis,0,1294.4,9.448,1587.18,2923.86,137.0,3502
Br8100,held-out,cross,6.0,shared_basis,0,1357.21,9.906,1626.0,2926.25,137.0,3502
Br8100,held-out,cross,8.0,shared_basis,0,1473.09,10.752,1732.08,3112.14,137.0,3502
Br8100,held-out,cross,0.0,shared_basis,1,1299.08,9.482,1592.13,2905.61,137.0,3502
Br8100,held-out,cross,1.0,shared_basis,1,1296.71,9.465,1590.67,2887.69,137.0,3502
Br8100,held-out,cross,2.0,shared_basis,1,1295.23,9.454,1587.24,2882.55,137.0,3502
Br8100,held-out,cross,3.0,shared_basis,1,1295.54,9.456,1585.16,2879.12,137.0,3502
Br8100,held-out,cross,4.0,shared_basis,1,1303.37,9.513,1588.04,2877.94,137.0,3502
Br8100,held-out,cross,6.0,shared_basis,1,1295.86,9.459,1589.31,2879.82,137.0,3502
Br8100,held-out,cross,8.0,shared_basis,1,1299.16,9.483,1590.3,2883.72,137.0,3502
Br8100,held-out,cross,0.0,shared_basis,2,1304.17,9.519,1594.37,2921.57,137.0,3502
Br8100,held-out,cross,1.0,shared_basis,2,1305.39,9.528,1594.76,2914.83,137.0,3502
Br8100,held-out,cross,2.0,shared_basis,2,1306.59,9.537,1596.48,2937.15,137.0,3502
Br8100,held-out,cross,3.0,shared_basis,2,1308.62,9.552,1597.92,2942.58,137.0,3502
Br8100,held-out,cross,4.0,shared_basis,2,1315.27,9.6,1604.74,2967.25,137.0,3502
Br8100,held-out,cross,6.0,shared_basis,2,1328.66,9.698,1630.59,3001.26,137.0,3502
Br8100,held-out,cross,8.0,shared_basis,2,1348.11,9.84,1679.5,3137.64,137.0,3502
Br5292,in-distribution,cross,0.0,harmony,0,132.12,0.964,160.78,305.45,137.0,4182
Br5292,in-distribution,cross,1.0,harmony,0,131.58,0.96,160.27,307.97,137.0,4182
Br5292,in-distribution,cross,2.0,harmony,0,131.62,0.961,166.6,321.15,137.0,4182
Br5292,in-distribution,cross,3.0,harmony,0,135.45,0.989,176.05,342.59,137.0,4182
Br5292,in-distribution,cross,4.0,harmony,0,137.19,1.001,189.48,364.25,137.0,4182
Br5292,in-distribution,cross,6.0,harmony,0,145.99,1.066,257.66,543.32,137.0,4182
Br5292,in-distribution,cross,8.0,harmony,0,161.01,1.175,359.91,1119.91,137.0,4182
Br5292,in-distribution,cross,0.0,harmony,1,132.42,0.967,158.11,302.22,137.0,4182
Br5292,in-distribution,cross,1.0,harmony,1,131.86,0.962,157.84,303.91,137.0,4182
