dataset,tissue,kind,mode,severity,method,seed,median_error,median_error_pitch,mean_error,p90_error,pitch_px,n_scored,runtime_s
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,0.0,sutura,0,99.23,0.724,115.35,200.03,137.0,4182,0.0
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,1.0,sutura,0,99.69,0.728,114.82,197.36,137.0,4182,0.0
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,2.0,sutura,0,99.82,0.729,118.73,205.33,137.0,4182,0.0
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,3.0,sutura,0,102.04,0.745,130.53,221.53,137.0,4182,0.0
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,4.0,sutura,0,103.16,0.753,145.44,239.21,137.0,4182,0.0
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,6.0,sutura,0,108.6,0.793,214.97,423.08,137.0,4182,0.0
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,8.0,sutura,0,118.03,0.861,318.77,1205.43,137.0,4182,0.0
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,0.0,paste2,0,658.09,4.803,764.59,1451.42,137.0,4157,253.28
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,1.0,paste2,0,655.45,4.784,762.15,1441.93,137.0,4156,248.3
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,2.0,paste2,0,688.98,5.029,780.32,1475.86,137.0,4155,290.42
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,3.0,paste2,0,716.28,5.228,806.19,1536.37,137.0,4154,315.46
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,4.0,paste2,0,729.32,5.323,836.95,1597.56,137.0,4155,247.86
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,6.0,paste2,0,773.03,5.642,910.73,1756.27,137.0,4157,254.33
DLPFC_Br5292_train,human DLPFC (cortex),in-distribution (train donor),cross,8.0,paste2,0,838.2,6.118,983.15,1932.43,137.0,4158,329.31
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,0.0,sutura,0,2236.02,16.321,2557.31,4650.96,137.0,3363,0.21
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,1.0,sutura,0,2234.24,16.308,2557.44,4646.7,137.0,3363,0.1
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,2.0,sutura,0,2227.68,16.26,2558.2,4645.7,137.0,3363,0.11
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,3.0,sutura,0,2224.08,16.234,2558.84,4642.02,137.0,3363,0.12
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,4.0,sutura,0,2228.71,16.268,2558.17,4641.41,137.0,3363,0.1
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,6.0,sutura,0,2273.94,16.598,2574.98,4640.18,137.0,3363,0.1
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,8.0,sutura,0,2311.47,16.872,2596.27,4639.15,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,0.0,sutura,1,2228.57,16.267,2555.56,4642.47,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,1.0,sutura,1,2228.57,16.267,2556.44,4644.15,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,2.0,sutura,1,2227.27,16.257,2555.62,4644.26,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,3.0,sutura,1,2221.3,16.213,2556.25,4644.34,137.0,3363,0.08
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,4.0,sutura,1,2224.27,16.235,2557.75,4644.44,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,6.0,sutura,1,2231.49,16.288,2558.17,4631.18,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,8.0,sutura,1,2229.88,16.276,2559.45,4653.36,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,0.0,sutura,2,2236.65,16.325,2556.13,4631.82,137.0,3363,0.08
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,1.0,sutura,2,2235.52,16.317,2554.91,4631.84,137.0,3363,0.08
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,2.0,sutura,2,2230.68,16.282,2553.89,4611.85,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,3.0,sutura,2,2231.47,16.288,2549.22,4627.74,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,4.0,sutura,2,2228.27,16.264,2546.33,4632.0,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,6.0,sutura,2,2232.5,16.295,2549.48,4631.67,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,8.0,sutura,2,2231.07,16.285,2541.38,4602.89,137.0,3363,0.09
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,0.0,paste2,0,526.02,3.839,598.84,1123.99,137.0,3337,212.47
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,4.0,paste2,0,571.28,4.17,650.25,1218.98,137.0,3339,282.87
DLPFC_Br5595,human DLPFC (cortex),"cross-donor, same tissue",cross,8.0,paste2,0,691.21,5.045,817.46,1579.75,137.0,3341,365.77
DLPFC_Br8100,human DLPFC (cortex),"cross-donor, same tissue",cross,0.0,sutura,0,2601.53,18.989,2570.97,4184.32,137.0,3502,0.21
